pdf_page,column,raw_entry,entry,stage_bucket
141,right,creative*,creative,required_new
141,right,creature**,creature,selective_required_new
141,right,credit*,credit,required_new
141,right,crew**,crew,selective_required_new
141,right,crime**,crime,selective_required_new
141,right,crisis**,crisis,selective_required_new
141,right,criterion (pl. criteria)**,criterion (pl. criteria),selective_required_new
141,right,critical**,critical,selective_required_new
141,right,criticise (criticize)**,criticise (criticize),selective_required_new
141,right,crop**,crop,selective_required_new
141,right,cross,cross,compulsory_baseline
141,right,crowd*,crowd,required_new
142,left,crucial**,crucial,selective_required_new
142,left,cruel**,cruel,selective_required_new
142,left,cry,cry,compulsory_baseline
142,left,cuisine**,cuisine,selective_required_new
142,left,culture,culture,compulsory_baseline
142,left,cup,cup,compulsory_baseline
142,left,cupboard**,cupboard,selective_required_new
142,left,cure*,cure,required_new
142,left,curious*,curious,required_new
142,left,current*,current,required_new
142,left,curtain**,curtain,selective_required_new
142,left,custom*,custom,required_new
142,left,customer,customer,compulsory_baseline
142,left,cut,cut,compulsory_baseline
142,left,cute,cute,compulsory_baseline
142,left,cycle**,cycle,selective_required_new
142,left,daily,daily,compulsory_baseline
142,left,damage**,damage,selective_required_new
142,left,damp**,damp,selective_required_new
142,left,dance,dance,compulsory_baseline
142,left,danger,danger,compulsory_baseline
142,left,dangerous,dangerous,compulsory_baseline
142,left,dare**,dare,selective_required_new
142,left,dark,dark,compulsory_baseline
142,left,data*,data,required_new
142,left,database**,database,selective_required_new
142,right,date,date,compulsory_baseline
142,right,daughter,daughter,compulsory_baseline
142,right,day,day,compulsory_baseline
142,right,dead,dead,compulsory_baseline
142,right,deadline**,deadline,selective_required_new
142,right,deaf,deaf,compulsory_baseline
142,right,deal,deal,compulsory_baseline
142,right,dear,dear,compulsory_baseline
142,right,death*,death,required_new
142,right,debate**,debate,selective_required_new
142,right,debt**,debt,selective_required_new
142,right,decade**,decade,selective_required_new
142,right,December,December,compulsory_baseline
142,right,decent**,decent,selective_required_new
142,right,decide,decide,compulsory_baseline
142,right,decision,decision,compulsory_baseline
142,right,declare*,declare,required_new
142,right,decline**,decline,selective_required_new
142,right,decorate*,decorate,required_new
142,right,decrease**,decrease,selective_required_new
142,right,deep,deep,compulsory_baseline
142,right,deer*,deer,required_new
142,right,defeat**,defeat,selective_required_new
142,right,defence (defense)*,defence (defense),required_new
142,right,defend**,defend,selective_required_new
142,right,definitely*,definitely,required_new
142,right,definition**,definition,selective_required_new
142,right,degree,degree,compulsory_baseline
143,left,delay**,delay,selective_required_new
